popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
46,0.637,0.633,282707,0.2769999999999999,0.86,C,0.184,-15.59,Major,0.0329,106.591,0.486,Jazz
36,0.942,0.303,690960,0.0929,0.57,D#,0.3,-20.174,Major,0.0411,134.792,0.159,Classical
42,0.915,0.407,160840,0.379,0,C#,0.106,-10.944,Major,0.0331,99.943,0.645,Blues
37,0.655,0.357,194707,0.216,0,F#,0.129,-11.348,Major,0.0357,80.109,0.233,Country
52,0.0642,0.426,393053,0.754,0.765,E,0.701,-9.125,Minor,0.074,167.42,0.228,Jazz
43,0.173,0.61,241320,0.685,0,G,0.301,-5.052,Major,0.0409999999999999,79.945,0.432,Country
64,0.2689999999999999,0.441,197440,0.594,0,C#,0.143,-8.271,Major,0.166,139.28,0.491,Rap
51,0.0363,0.5329999999999999,293800,0.8220000000000001,0,F,0.3429999999999999,-5.2,Minor,0.325,109.711,0.5760000000000001,Hip-Hop
28,1.87e-4,0.282,153693,0.899,0.389,D#,0.163,-8.601,Major,0.0535,157.877,0.187,Blues
42,0.049,0.501,231200,0.946,0,F,0.146,-3.565,Minor,0.115,149.92700000000002,0.381,Electronic
24,0.0274,0.46,237293,0.99,5.139999999999e-4,A,0.286,-1.906,Major,0.0938,173.05599999999998,0.6859999999999999,Anime
54,0.1639999999999999,0.644,190345,0.8140000000000001,1.59e-6,G#,0.213,-5.934,Minor,0.0668,145.041,0.52,Rap
74,0.31,0.716,245503.5,0.812,0,G,0.551,-5.233,Major,0.344,133.047,0.385,Rap
26,0.525,0.523,224280,0.695,9.33e-6,A,0.168,-5.947,Major,0.0333,170.105,0.467,Blues
63,0.0529,0.4,229173,0.479,2.14e-6,G#,0.115,-7.989,Minor,0.0308,166.15900000000002,0.213,Rock
56,0.00536,0.487,265907,0.7020000000000001,4.93e-6,G,0.129,-6.042999999999999,Major,0.0238,95.973,0.306,Alternative
59,0.7809999999999999,0.607,173158,0.8690000000000001,0,F,0.1369999999999999,-5.271,Major,0.345,155.983,0.5770000000000001,Hip-Hop
60,0.726,0.583,131773,0.5820000000000001,0,G,0.123,-4.745,Major,0.115,96.606,0.568,Rap
52,0.271,0.49,245503.5,0.726,0,C,0.17,-6.792999999999999,Minor,0.26,171.945,0.25,Hip-Hop
51,0.256,0.6990000000000001,230413,0.779,0,D,0.0982,-3.888,Minor,0.0505,93.015,0.457,Hip-Hop
30,0.0652,0.5579999999999999,179133,0.784,2.7e-4,E,0.245,-6.694,Minor,0.0812,127.042,0.429,Blues
54,0.103,0.322,190373,0.655,4.01e-6,D,0.126,-11.803,Major,0.0354,177.445,0.7559999999999999,Blues
66,0.0203,0.3779999999999999,372707,0.691,0,A#,0.4,-5.308,Minor,0.461,75.16199999999999,0.226,Rap
49,5.59e-5,0.469,216307,0.978,0.0168,G#,0.294,-4.399,Major,0.0628,90.994,0.413,Alternative
67,0.132,0.8590000000000001,194230,0.413,0,C#,0.3339999999999999,-7.399,Major,0.182,115.035,0.6970000000000001,Alternative
34,0.8640000000000001,0.186,234425,0.389,0.00148,G,0.155,-5.613,Major,0.0331,140.83,0.216,Classical
42,0.16,0.752,278200,0.672,0.893,C,0.0822,-7.492999999999999,Major,0.0298,104.003,0.657,Jazz
29,0.987,0.207,248013,0.0223,0.4529999999999999,E,0.0857,-30.48,Major,0.042,135.966,0.0342,Classical
58,0.5770000000000001,0.135,245503.5,0.3989999999999999,0.00104,E,0.115,-8.67,Minor,0.0361,87.476,0.0383,Rock
69,0.026,0.608,191947,0.746,2.39e-6,C,0.043,-8.851,Major,0.354,134.03,0.745,Rock
32,0.78,0.6659999999999999,245503.5,0.431,0,F,0.69,-9.831,Major,0.425,107.901,0.745,Blues
37,0.0159,0.417,356453,0.787,5.52e-4,E,0.157,-6.986000000000001,Minor,0.068,155.736,0.218,Jazz
45,0.00158,0.637,254760,0.821,0.089,C#,0.276,-5.707999999999999,Major,0.0686,115.109,0.308,Alternative
55,0.0352,0.615,309093,0.931,2.37e-5,D#,0.0914,-7.8,Major,0.24,137.54399999999998,0.53,Alternative
50,0.614,0.7490000000000001,309760,0.246,1.38e-4,C,0.0967,-12.847,Major,0.0383,132.153,0.308,Country
47,0.861,0.389,254619,0.208,7.76e-6,D,0.192,-11.669,Major,0.0359,90.346,0.233,Alternative
56,0.763,0.561,327400,0.565,0.948,C#,0.166,-12.374,Major,0.0373,122.072,0.0392,Electronic
43,0.0692,0.622,256524,0.885,0,G,0.211,-6.2620000000000005,Major,0.241,168.142,0.5579999999999999,Alternative
40,0.174,0.65,354800,0.924,0.00418,F#,0.0974,-0.203,Minor,0.0417,99.373,0.96,Blues
28,0.177,0.551,223840,0.8,1.16e-6,G#,0.075,-6.733,Major,0.033,89.958,0.408,Anime
49,0.181,0.48,345133,0.384,0.105,A#,0.124,-12.705,Major,0.0304,152.184,0.1939999999999999,Alternative
25,0.0468,0.407,208360,0.8109999999999999,0,D,0.0834,-3.4930000000000003,Major,0.1969999999999999,135.346,0.759,Anime
61,0.297,0.516,341000,0.5529999999999999,0,F,0.0863,-8.306000000000001,Minor,0.296,119.804,0.324,Hip-Hop
45,0.251,0.6990000000000001,341507,0.6779999999999999,0.6970000000000001,B,0.516,-9.212,Minor,0.0413,76.835,0.363,Electronic
13,0.00558,0.4629999999999999,298547,0.591,0.737,F,0.397,-5.544,Minor,0.0535,167.77,0.542,Anime
37,0.36,0.616,200548,0.469,0.38,B,0.103,-11.315,Major,0.051,146.049,0.57,Electronic
50,0.311,0.353,286231,0.593,0,A,0.0685,-9.675,Major,0.0457,82.56,0.488,Rock
52,0.00179,0.3339999999999999,176693,0.903,0.0118,G#,0.0558,-3.812,Major,0.209,70.62100000000001,0.487,Alternative
62,0.16,0.84,188493,0.5710000000000001,0,A#,0.406,-7.421,Major,0.0797,116.59,0.617,Rap
39,0.077,0.524,548867,0.7170000000000001,0.792,D,0.128,-8.631,Major,0.0367,134.99200000000002,0.0775,Electronic
39,0.797,0.53,212547,0.39,4.41e-6,G,0.289,-12.757,Major,0.0352,78.854,0.447,Country
72,0.0301,0.521,334067,0.625,0,C#,0.121,-7.47,Major,0.067,101.019,0.136,Rap
59,0.0906,0.76,187827,0.522,3.36e-6,C,0.174,-8.088,Major,0.0348,109.741,0.551,Rock
32,0.00567,0.493,235840,0.853,7.63e-6,E,0.1119999999999999,-5.251,Major,0.0381,145.851,0.123,Electronic
52,0.0155,0.631,184894,0.804,3.15e-6,E,0.092,-5.107,Minor,0.0601,135.092,0.364,Electronic
29,0.687,0.5660000000000001,193064,0.556,5.66e-6,B,0.186,-5.848,Major,0.027,99.044,0.355,Blues
0,0.995,0.527,224860,0.0188,0.8959999999999999,D,0.0773,-30.6,Major,0.0549,105.338,0.1989999999999999,Classical
12,0.952,0.122,111400,0.122,0.948,G,0.159,-12.34,Minor,0.0387,91.459,0.04,Anime
24,0.927,0.522,245503.5,0.144,0.8290000000000001,D,0.104,-19.942,Major,0.0381,131.025,0.384,Classical
19,0.479,0.158,245503.5,0.184,0.37,G,0.148,-21.504,Major,0.0467,79.14,0.0372,Anime
71,4.23e-4,0.278,237027,0.6759999999999999,8.99e-4,A,0.136,-8.821,Major,0.0371,104.545,0.494,Alternative
52,0.726,0.542,231374,0.491,4.37e-4,D,0.302,-6.457000000000001,Major,0.0314,118.605,0.6409999999999999,Alternative
41,0.207,0.711,161067,0.76,0,G,0.122,-4.636,Major,0.254,100.003,0.75,Country
53,0.00631,0.914,245503.5,0.698,2.95e-4,A,0.0575,-8.619,Major,0.0541,99.034,0.613,Alternative
45,0.0291,0.82,245503.5,0.469,0,E,0.0549,-11.274,Minor,0.307,92.288,0.498,Jazz
31,0.979,0.412,225054,0.236,0.862,F,0.1369999999999999,-18.97,Major,0.0448,119.541,0.132,Classical
0,0.984,0.254,224729,0.0436,0.8490000000000001,E,0.104,-26.005,Major,0.0397,67.27,0.0689,Classical
36,0.0166,0.293,439693,0.762,0.0563,B,0.978,-8.34,Major,0.0918,166.16400000000002,0.4589999999999999,Blues
41,0.307,0.588,225907,0.345,3.52e-5,A,0.136,-10.247,Major,0.0321,84.571,0.2789999999999999,Country
52,0.726,0.3829999999999999,304668,0.731,0,C#,0.504,-5.996,Major,0.201,176.78099999999998,0.306,Rap
40,0.154,0.537,194573,0.833,0,C,0.0885,-4.103,Major,0.0399,79.955,0.621,Country
35,0.3389999999999999,0.413,327373,0.5579999999999999,0.0557,F,0.0671,-7.822,Major,0.0308,58.498000000000005,0.1939999999999999,Jazz
65,0.289,0.6890000000000001,85714,0.777,0,G#,0.104,-5.465,Major,0.289,139.72299999999998,0.492,Hip-Hop
63,0.536,0.568,415613,0.42,0.124,G,0.1009999999999999,-11.169,Minor,0.276,79.89,0.4529999999999999,Alternative
59,0.045,0.624,199767,0.5479999999999999,1.699999999999e-4,B,0.11,-6.658,Major,0.0318,91.973,0.367,Rock
18,0.911,0.288,200867,0.143,0.95,A,0.111,-14.26,Minor,0.0305,101.171,0.0864,Anime
21,0.1889999999999999,0.6509999999999999,130693,0.735,0.942,G#,0.179,-9.629,Major,0.0381,128.09799999999998,0.477,Anime
4,5.7e-4,0.584,297573,0.679,0.809,F,0.157,-7.512,Major,0.0244,111.983,0.5870000000000001,Anime
39,0.0346,0.923,218328,0.748,6.27e-5,D,0.132,-3.709,Major,0.293,131.97299999999998,0.506,Electronic
37,0.0106,0.625,204053,0.826,0.00146,F,0.0922,-4.507,Major,0.0317,119.98,0.659,Country
43,0.00112,0.733,210800,0.848,0.0014199999999999,F,0.0882,-6.489,Minor,0.0597,124.066,0.6579999999999999,Electronic
34,0.0018600000000000001,0.484,180719,0.94,0.00389,A#,0.5429999999999999,-5.066,Minor,0.0524,180.02,0.698,Blues
35,0.0387,0.516,310187,0.841,0.0124,A,0.305,-5.987,Major,0.034,90.359,0.883,Blues
60,7.19e-4,0.506,179840,0.932,0.0594,F,0.174,-6.11,Minor,0.11,99.929,0.5489999999999999,Alternative
37,0.0383,0.594,209877,0.735,0,E,0.13,-5.408,Major,0.0518,121.947,0.752,Country
46,0.0726,0.747,179200,0.7340000000000001,0,D,0.131,-5.781000000000001,Major,0.0361,110.978,0.153,Alternative
64,0.0352,0.488,236787,0.833,0.0172,B,0.34,-6.571000000000001,Major,0.0437,174.00599999999997,0.7509999999999999,Country
66,0.0877,0.757,141854,0.579,0,E,0.104,-9.174,Minor,0.0655,160.07,0.537,Hip-Hop
63,0.246,0.924,204347,0.782,0,A#,0.0659,-4.55,Minor,0.0816,95.01,0.745,Hip-Hop
55,0.0103,0.669,265707,0.5760000000000001,0,C,0.04,-6.475,Major,0.184,79.042,0.456,Rap
42,0.991,0.138,181400,0.0318,0.735,D,0.348,-25.741,Minor,0.0363,145.92600000000002,0.0491,Classical
32,0.0014,0.5529999999999999,270733,0.937,2.46e-6,B,0.163,-4.227,Major,0.079,119.981,0.804,Anime
40,0.172,0.389,186270,0.901,0.5660000000000001,B,0.497,-5.162000000000001,Minor,0.0672,104.344,0.493,Blues
58,0.157,0.918,245503.5,0.8340000000000001,1.12e-5,C,0.0651,-6.21,Major,0.0935,128.006,0.8420000000000001,Rap
59,0.094,0.7859999999999999,205920,0.635,0,G#,0.0771,-5.307,Major,0.321,97.315,0.483,Rap
50,0.0121,0.7340000000000001,155063,0.626,4.34e-5,F,0.373,-4.55,Major,0.256,149.977,0.542,Hip-Hop
37,7.52e-4,0.54,250347,0.973,0.889,C#,0.0938,-3.608,Major,0.063,126.947,0.747,Jazz
55,0.882,0.429,293973,0.093,0.00703,D#,0.111,-15.944,Major,0.0433,129.661,0.208,Alternative
52,0.0103,0.653,245503.5,0.7859999999999999,2.19e-6,D,0.201,-5.417999999999999,Major,0.0338,120.992,0.477,Country
70,0.6409999999999999,0.8079999999999999,263288,0.586,0,A#,0.14,-7.242000000000001,Minor,0.1689999999999999,124.041,0.568,Hip-Hop
40,0.243,0.8440000000000001,267578,0.5579999999999999,0.647,A,0.0893,-11.416,Minor,0.153,90.888,0.353,Alternative
59,0.134,0.8079999999999999,142456,0.593,0,F,0.124,-5.063,Minor,0.247,88.057,0.239,Rap
56,0.00682,0.456,183707,0.8909999999999999,4.97e-6,B,0.0727,-4.062,Minor,0.125,170.019,0.647,Alternative
61,0.302,0.71,247600,0.642,0,F,0.263,-6.206,Minor,0.293,87.87299999999999,0.8909999999999999,Rap
45,0.26,0.4479999999999999,335307,0.555,0.366,C,0.105,-9.919,Major,0.0291,158.29399999999998,0.208,Electronic
68,0.0083299999999999,0.8440000000000001,187840,0.754,3.42e-6,F#,0.0575,-5.46,Major,0.207,100.002,0.961,Rap
22,0.0101,0.5820000000000001,243773,0.8170000000000001,0.0132,A,0.111,-4.871,Major,0.03,132.95600000000002,0.418,Anime
53,0.0474,0.867,205027,0.51,0,C#,0.437,-6.162999999999999,Major,0.161,118.02,0.128,Hip-Hop
15,1.38e-6,0.413,170493,0.7040000000000001,0.887,C#,0.128,-7.475,Major,0.0332,143.95600000000002,0.332,Anime
62,0.0642,0.476,353787,0.901,0.158,G#,0.0557,-6.751,Major,0.0975,91.955,0.109,Rock
50,0.846,0.355,294293,0.258,0.003,D,0.155,-12.952,Major,0.0294,82.18299999999999,0.27,Jazz
62,0.211,0.7509999999999999,244720,0.621,1.19e-6,A,0.165,-7.187,Minor,0.0801,93.02,0.419,Rap
44,0.0132,0.597,344120,0.861,0.715,G,0.108,-12.086,Major,0.0426,132.031,0.11,Electronic
27,8.86e-4,0.287,228933,0.991,0,G#,0.349,0.031,Major,0.192,110.03,0.3929999999999999,Anime
62,0.84,0.445,225480,0.4589999999999999,0.95,A,0.107,-15.791,Major,0.0415,126.106,0.1369999999999999,Rock
54,0.0383,0.92,245503.5,0.531,0,A,0.0859,-7.227,Major,0.532,139.082,0.439,Rap
37,0.0016699999999999,0.515,227067,0.68,0.0696,G,0.136,-8.424,Minor,0.0285,90.474,0.968,Electronic
56,4.599999999999e-4,0.65,199267,0.624,5.6000000000000006e-5,D,0.364,-4.953,Major,0.0387,133.951,0.0921,Rap
51,0.7090000000000001,0.385,194595,0.757,0,C,0.235,-5.96,Major,0.1669999999999999,82.67299999999999,0.469,Hip-Hop
65,0.176,0.486,190800,0.633,0,A,0.312,-8.414,Major,0.0365,162.158,0.669,Rock
55,0.0129,0.898,246449,0.7509999999999999,0,B,0.363,-4.646,Major,0.148,129.972,0.462,Rap
32,0.8690000000000001,0.196,161920,0.272,1.44e-5,C#,0.104,-10.619000000000002,Major,0.0319,84.78299999999999,0.0936,Jazz
26,0.203,0.7120000000000001,203040,0.706,0.8079999999999999,C#,0.103,-8.2,Major,0.0888,105.869,0.501,Blues
20,5.629999999999999e-5,0.307,188720,0.847,0.0605,E,0.104,-4.736000000000001,Minor,0.0582,175.09400000000002,0.478,Anime
27,0.8270000000000001,0.531,165560,0.0426,0.107,F,0.127,-24.243,Minor,0.106,90.934,0.2319999999999999,Classical
63,0.6609999999999999,0.727,254533,0.649,0,C,0.111,-5.356,Major,0.0338,129.99200000000002,0.669,Rap
38,0.68,0.741,279453,0.4039999999999999,1.189999999999e-4,G,0.299,-15.069,Minor,0.0974,96.707,0.804,Jazz
72,0.1,0.6920000000000001,263387,0.809,9.77e-5,D,0.185,-5.935,Major,0.0255,104.023,0.927,Country
47,0.235,0.452,248587,0.384,3.69e-5,G,0.95,-8.845,Major,0.0263,64.429,0.216,Country
51,0.153,0.745,248876,0.747,0.0495,D,0.143,-10.008,Major,0.0517,98.003,0.759,Jazz
13,0.955,0.372,226667,0.298,0,D,0.731,-20.556,Major,0.631,79.22800000000001,0.541,Classical
58,0.528,0.6459999999999999,209867,0.531,0.0133,G,0.0836,-10.785,Major,0.0671,172.02,0.655,Rock
60,0.0182,0.626,161627,0.659,1.01e-6,C,0.348,-8.324,Minor,0.129,77.005,0.1119999999999999,Rap
64,0.0697,0.733,226581,0.6759999999999999,0,A#,0.208,-5.655,Minor,0.0432,97.448,0.701,Rap
56,0.0422,0.59,125387,0.691,0.82,C#,0.247,-6.395,Major,0.0593,93.356,0.962,Jazz
67,0.3379999999999999,0.633,245503.5,0.5589999999999999,0,F#,0.262,-5.135,Major,0.313,114.983,0.473,Rock
67,0.301,0.7020000000000001,207455,0.659,0.00201,E,0.218,-6.766,Minor,0.13,79.64,0.843,Alternative
25,0.8109999999999999,0.358,102800,0.0929,0.12,C,0.544,-25.979,Major,0.1689999999999999,80.655,0.517,Classical
28,0.642,0.687,187533,0.6779999999999999,9.85e-4,D,0.0943,-10.843,Major,0.0482,124.751,0.564,Blues
57,0.138,0.564,262867,0.503,0,G,0.0945,-8.635,Major,0.0282,141.043,0.5660000000000001,Country
31,0.302,0.492,232131,0.526,4.73e-5,A,0.257,-6.712000000000001,Minor,0.044,122.178,0.163,Electronic
51,0.0026899999999999,0.644,233347,0.8290000000000001,0.00447,G#,0.0794,-4.399,Major,0.0512,115.883,0.461,Rock
60,0.00605,0.862,120960,0.6679999999999999,0,C#,0.156,-5.181,Minor,0.198,84.809,0.532,Rap
51,0.828,0.772,165907,0.5,0,F,0.128,-9.809,Major,0.0542,93.028,0.506,Rap
23,0.0098,0.4629999999999999,245503.5,0.976,4.91e-5,G,0.39,-2.716,Major,0.0936,153.019,0.6629999999999999,Anime
40,4.48e-5,0.259,245503.5,0.989,0.0177,D,0.358,-5.005,Major,0.124,121.901,0.0842,Alternative
54,0.00826,0.616,301896,0.606,2.08e-4,G#,0.176,-5.636,Minor,0.0332,104.184,0.0919,Rap
46,5.11e-4,0.6809999999999999,234000,0.8290000000000001,1.09e-5,D,0.1119999999999999,-6.894,Major,0.1009999999999999,94.067,0.782,Alternative
33,0.0151,0.591,209000,0.616,1.18e-6,G,0.51,-6.24,Minor,0.0537,150.116,0.109,Electronic
25,0.0127,0.5760000000000001,215027,0.94,3.5100000000000006e-5,C#,0.11,-3.27,Major,0.107,135.945,0.539,Anime
70,0.15,0.866,249800,0.7490000000000001,0,D,0.0591,-3.977,Major,0.253,92.077,0.8909999999999999,Rap
24,0.0638,0.44,115760,0.302,0.59,E,0.124,-14.1,Minor,0.0655,160.079,0.375,Anime
24,0.52,0.7390000000000001,329133,0.523,0.888,B,0.0866,-10.413,Minor,0.053900000000000003,150.032,0.897,Electronic
30,0.99,0.157,382453,0.126,0.8220000000000001,C#,0.0898,-23.562,Major,0.0499,85.35700000000001,0.0348,Classical
53,0.294,0.7509999999999999,277055,0.87,0,D,0.0525,-5.088,Major,0.395,119.84,0.775,Hip-Hop
57,0.0438,0.777,194827,0.72,0,G#,0.251,-5.292999999999999,Major,0.0525,114.955,0.946,Blues
44,0.825,0.327,292693,0.2689999999999999,2.34e-4,E,0.108,-12.912,Major,0.0339,141.514,0.0857,Alternative
48,0.0712,0.8079999999999999,427018,0.715,0.884,D,0.0878,-8.656,Major,0.0804,114.99,0.358,Electronic
65,0.0036899999999999,0.387,238573,0.94,0,F,0.0759,-4.16,Minor,0.0528,134.876,0.444,Alternative
53,0.0016899999999999,0.505,191373,0.757,0,C,0.337,-5.443,Major,0.0829,83.212,0.556,Rap
4,0.74,0.605,245503.5,0.594,0,G,0.904,-9.408,Major,0.7290000000000001,139.585,0.7340000000000001,Jazz
49,0.965,0.42,236280,0.0736,0.00117,C#,0.108,-16.387,Minor,0.0317,100.432,0.0977,Jazz
49,0.00589,0.6679999999999999,202351,0.804,0,A,0.145,-5.234,Major,0.24,144.111,0.598,Hip-Hop
42,0.8909999999999999,0.551,181773,0.305,1.42e-6,B,0.258,-11.36,Major,0.0321,145.811,0.42,Country
33,3.779999999999e-4,0.7879999999999999,270545,0.696,0.087,G,0.0754,-4.512,Major,0.0417,109.981,0.259,Electronic
52,2.79e-5,0.701,251973,0.878,0.522,G,0.0608,-7.911,Major,0.035,130.512,0.875,Electronic
63,0.322,0.647,215676,0.65,0,F,0.34,-3.848,Minor,0.0449,74,0.677,Rock
31,0.956,0.382,694080,0.349,0.769,F,0.0657,-16.070999999999998,Minor,0.063,116.243,0.0951,Classical
47,0.132,0.43,351876,0.639,0.942,D#,0.196,-8.125,Minor,0.0401,151.437,0.171,Alternative
35,0.782,0.607,100043,0.354,0.855,B,0.115,-8.413,Minor,0.106,78.832,0.831,Jazz
46,0.174,0.513,215907,0.6829999999999999,2.21e-5,F#,0.131,-6.494,Major,0.0287,153.889,0.347,Country
24,0.0042299999999999,0.297,166720,0.841,2.37e-5,D,0.472,-4.575,Major,0.0838,124.594,0.569,Blues
63,0.184,0.774,245503.5,0.812,0,G,0.0757,-5.446000000000001,Major,0.215,103.878,0.743,Rap
64,0.111,0.564,245503.5,0.613,3.22e-6,B,0.0825,-5.055,Major,0.0318,84.95100000000001,0.48,Alternative
53,0.2,0.907,154880,0.421,1.7800000000000002e-5,G,0.1169999999999999,-11.611,Major,0.345,124.029,0.217,Hip-Hop
41,0.0136,0.365,245503.5,0.94,0.316,G#,0.252,-2.6,Major,0.15,150.136,0.186,Electronic
22,0.679,0.638,144000,0.636,1.0800000000000002e-5,E,0.293,-9.277,Minor,0.1939999999999999,92.51,0.818,Blues
65,0.12,0.667,218704,0.509,1.91e-6,C#,0.2689999999999999,-6.584,Major,0.0348,104.993,0.289,Hip-Hop
62,0.5870000000000001,0.6990000000000001,151720,0.294,0,F,0.1169999999999999,-13.205,Minor,0.0294,96.615,0.893,Rock
32,0.012,0.595,320440,0.789,0.935,F#,0.16,-7.869,Major,0.0321,130.007,0.0347,Electronic
59,0.157,0.551,263333,0.5589999999999999,1.29e-5,A,0.0589,-8.238,Major,0.0381,82.009,0.3,Country
41,0.902,0.252,247103,0.4529999999999999,5.81e-6,C#,0.109,-7.188,Minor,0.0494,78.406,0.131,Classical
28,0.969,0.113,194267,0.0732,0.772,C,0.107,-23.21,Major,0.0496,174.59900000000002,0.0379,Classical
21,4.759999999999e-4,0.4579999999999999,239400,0.963,4e-6,G,0.145,-2.668,Major,0.122,188.13,0.83,Anime
51,0.0924,0.527,253453,0.513,0.1669999999999999,C,0.327,-10.968,Major,0.0305,108.936,0.293,Electronic
63,0.179,0.726,274333,0.568,0,G,0.0488,-8.357999999999999,Minor,0.0298,91.906,0.631,Rap
23,0.275,0.53,86267,0.745,0.8220000000000001,A,0.124,-6.216,Major,0.0386,169.949,0.19,Anime
29,0.00448,0.64,172800,0.999,0.11,F#,0.8220000000000001,0,Minor,0.151,99.986,0.173,Electronic
73,0.0653,0.421,202533,0.873,0,A#,0.123,-4.343,Major,0.0565,84.803,0.63,Rock
53,0.128,0.6990000000000001,229969,0.475,0,B,0.134,-9.299,Minor,0.138,130.109,0.0821,Hip-Hop
59,0.0206,0.68,247693,0.894,0,C#,0.462,-4.86,Major,0.255,94.089,0.8029999999999999,Rap
27,9.339999999999e-4,0.473,245503.5,0.7290000000000001,0.56,A,0.124,-8.626,Minor,0.0696,127.163,0.762,Blues
48,0.988,0.265,451973,0.00281,0.934,F,0.096,-29.091,Minor,0.0472,83.84299999999999,0.0824,Classical
0,0.938,0.293,999467,0.111,0.569,C,0.0717,-20.079,Major,0.0427,92.11,0.0576,Classical
59,0.0067,0.501,195947,0.932,0,D,0.174,-2.374,Major,0.1969999999999999,151.116,0.716,Rock
33,0.00298,0.45,245503.5,0.915,0.446,F,0.7709999999999999,-1.404,Minor,0.236,137.94799999999998,0.156,Electronic
43,0.342,0.703,268467,0.411,0.565,B,0.0895,-13.880999999999998,Minor,0.0346,136.139,0.763,Electronic
21,0.614,0.7170000000000001,89958,0.433,0.764,C#,0.108,-10.354,Major,0.146,80.038,0.546,Electronic
0,0.948,0.3779999999999999,387307,0.149,0.696,A#,0.0753,-19.163,Major,0.0468,125.563,0.3339999999999999,Classical
35,0.00205,0.425,319027,0.521,0.0108,D,0.0981,-8.931000000000001,Major,0.0339,134.418,0.15,Blues
32,0.00469,0.284,245503.5,0.833,0.0695,F#,0.138,-8.699,Minor,0.0819999999999999,106.648,0.317,Blues
60,2.75e-5,0.423,200813,0.818,3.38e-4,C#,0.407,-3.603,Major,0.102,171.03900000000002,0.496,Rap
47,0.789,0.361,294973,0.361,1.25e-6,G,0.147,-7.194,Major,0.0281,141.04,0.26,Country
51,0.246,0.675,381173,0.496,0.888,C#,0.155,-14.236,Minor,0.0622,80.958,0.885,Electronic
23,0.0253,0.581,315147,0.865,2e-6,E,0.1689999999999999,-4.791,Major,0.0326,94.965,0.409,Anime
44,0.552,0.7240000000000001,94250,0.0526,0.953,C#,0.108,-15.38,Major,0.152,81.605,0.7140000000000001,Jazz
0,0.97,0.351,374707,0.1169999999999999,0,F,0.159,-22.346,Major,0.0494,136.154,0.243,Classical
71,0.16,0.5329999999999999,260173,0.637,1.12e-5,F#,0.369,-5.571000000000001,Major,0.0323,140.167,0.292,Rock
37,0.0525,0.7979999999999999,273080,0.352,0.89,G,0.106,-7.444,Minor,0.0802,185.43,0.871,Jazz
62,0.564,0.655,265840,0.413,1.84e-6,A,0.113,-9.247,Minor,0.281,148.00799999999998,0.439,Hip-Hop
41,7.75e-4,0.805,136581,0.669,0,E,0.0926,-9.772,Minor,0.2689999999999999,133.884,0.6809999999999999,Hip-Hop
